Time,Open,High,Low,Last,Change,%Chg,Volume
"2025-03-02 20:49",20933.5,20940.5,20933.5,20939.75,5.75,+0.03%,206
"2025-03-02 20:50",20939.75,20944.75,20938.5,20942.5,2.75,+0.01%,312
"2025-03-02 20:51",20942,20945.5,20938.75,20938.75,-3.75,-0.02%,321
"2025-03-02 20:52",20939.25,20948.5,20938.75,20948.5,9.75,+0.05%,434
"2025-03-02 20:53",20948.75,20955.75,20947.25,20949.5,1,0.00%,974
"2025-03-02 20:54",20949,20952,20946.5,20950.75,1.25,+0.01%,274
"2025-03-02 20:55",20950.5,20951.75,20948,20948.5,-2.25,-0.01%,207
"2025-03-02 20:56",20948.75,20949,20939,20940.75,-7.75,-0.04%,540
"2025-03-02 20:57",20939.5,20941.25,20933,20934.75,-6.,-0.03%,657
"2025-03-02 20:58",20934.25,20934.25,20923,20927,-7.75,-0.04%,898
"2025-03-02 20:59",20926.5,20930.75,20924.25,20928.75,1.75,+0.01%,408
"2025-03-02 21:00",20928.5,20934.25,20927.5,20929.25,0.5,0.00%,475
"2025-03-02 21:01",20929.25,20929.25,20921,20921,-8.25,-0.04%,528
"2025-03-02 21:02",20921.5,20931.5,20920.75,20931.25,10.25,+0.05%,464
"2025-03-02 21:03",20931.25,20932,20922.75,20922.75,-8.5,-0.04%,268
"2025-03-02 21:04",20923,20924.25,20914.25,20924.25,1.5,+0.01%,790
"2025-03-02 21:05",20923.75,20924.75,20913,20916.5,-7.75,-0.04%,473
"2025-03-02 21:06",20917.25,20924.25,20913.75,20921.25,4.75,+0.02%,462
"2025-03-02 21:07",20921,20921.25,20908,20910.5,-10.75,-0.05%,663
"2025-03-02 21:08",20909.25,20911,20905.75,20908.75,-1.75,-0.01%,517
"2025-03-02 21:09",20908,20914.25,20908,20911.25,2.5,+0.01%,325
"2025-03-02 21:10",20911.75,20915.5,20908.5,20910.75,-0.5,0.00%,367
"2025-03-02 21:11",20911.5,20914.75,20910.25,20910.5,-0.25,0.00%,237
"2025-03-02 21:12",20911,20911.5,20904.75,20906.75,-3.75,-0.02%,492
"2025-03-02 21:13",20907.25,20911.25,20904.75,20909,2.25,+0.01%,280
"2025-03-02 21:14",20908.25,20913,20904,20905.25,-3.75,-0.02%,334
"2025-03-02 21:15",20905.75,20910.5,20905,20909.25,4,+0.02%,311
"2025-03-02 21:16",20909,20911.25,20907.75,20908.75,-0.5,0.00%,138
"2025-03-02 21:17",20908.75,20912.5,20906.25,20907.25,-1.5,-0.01%,257
"2025-03-02 21:18",20907,20908,20902.75,20903.75,-3.5,-0.02%,350
"2025-03-02 21:19",20904.25,20905,20900.25,20903,-0.75,0.00%,408
"2025-03-02 21:20",20902.5,20913.75,20901.75,20911.5,8.5,+0.04%,451
"2025-03-02 21:21",20912,20914.75,20898.25,20903.25,-8.25,-0.04%,776
"2025-03-02 21:22",20902.5,20903.5,20887.5,20889.5,-13.75,-0.07%,1177
"2025-03-02 21:23",20890,20890,20883.75,20887,-2.5,-0.01%,743
"2025-03-02 21:24",20887.5,20891.5,20885,20886.5,-0.5,0.00%,610
"2025-03-02 21:25",20886.5,20896.25,20886.5,20893.5,7,+0.03%,622
"2025-03-02 21:26",20893.5,20896,20885,20892,-1.5,-0.01%,500
"2025-03-02 21:27",20892,20902.75,20891.75,20900.25,8.25,+0.04%,634
"2025-03-02 21:28",20900,20902.5,20898.25,20898.75,-1.5,-0.01%,270
"2025-03-02 21:29",20899.75,20902.5,20898.75,20899.25,0.5,0.00%,229
"2025-03-02 21:30",20899,20899,20887.5,20898.5,-0.75,0.00%,1544
"2025-03-02 21:31",20897.75,20903.25,20895.75,20900,1.5,+0.01%,669
"2025-03-02 21:32",20899.75,20900.75,20893.25,20896.5,-3.5,-0.02%,403
"2025-03-02 21:33",20897.75,20902.25,20897,20901.25,4.75,+0.02%,223
"2025-03-02 21:34",20901.75,20908.25,20899,20903.5,2.25,+0.01%,594
"2025-03-02 21:35",20903.75,20907.25,20901.5,20907.25,3.75,+0.02%,287
"2025-03-02 21:36",20906.75,20909.75,20906.25,20906.5,-0.75,0.00%,300
"2025-03-02 21:37",20906.25,20907.5,20904,20905.25,-1.25,-0.01%,170
"2025-03-02 21:38",20905,20912.5,20905,20910,4.75,+0.02%,311
"2025-03-02 21:39",20910,20913,20909.25,20912.25,2.25,+0.01%,159
"2025-03-02 21:40",20912,20914.75,20909.75,20914.25,2,+0.01%,233
"2025-03-02 21:41",20914,20914.75,20906.75,20909.5,-4.75,-0.02%,405
"2025-03-02 21:42",20909.5,20911,20904.5,20906.25,-3.25,-0.02%,450
"2025-03-02 21:43",20907.25,20909.5,20906,20908,1.75,+0.01%,166
"2025-03-02 21:44",20907.75,20912.5,20906,20907.5,-0.5,0.00%,252
"2025-03-02 21:45",20907.25,20915,20906.75,20911.25,3.75,+0.02%,295
"2025-03-02 21:46",20911,20915.5,20910,20911.5,0.25,0.00%,284
"2025-03-02 21:47",20911.25,20913,20909.75,20910.75,-0.75,0.00%,200
"2025-03-02 21:48",20910.5,20915.5,20908.5,20912.5,1.75,+0.01%,222
"2025-03-02 21:49",20913.5,20915.25,20912,20912.75,0.25,0.00%,166
"2025-03-02 21:50",20913,20921.5,20912.25,20920.25,7.5,+0.04%,654
"2025-03-02 21:51",20920.75,20922.25,20917.75,20918.5,-1.75,-0.01%,318
