Time,Open,High,Low,Last,Change,%Chg,Volume
"2023-05-26 15:54",14362.75,14363.75,14361,14362.25,-0.75,-0.01%,120
"2023-05-26 15:55",14362.25,14365,14361,14363.25,1,+0.01%,168
"2023-05-26 15:56",14363.75,14365.25,14361.25,14362,-1.25,-0.01%,134
"2023-05-26 15:57",14362,14363.75,14361.75,14362.75,0.75,+0.01%,127
"2023-05-26 15:58",14362.25,14365,14361.5,14364.25,1.5,+0.01%,132
"2023-05-26 15:59",14364.5,14372.5,14363.25,14371.25,7,+0.05%,475
"2023-05-28 17:00",14418.25,14442,14404.5,14428.25,57,+0.40%,2198
"2023-05-28 17:01",14425,14426.5,14417.5,14420.75,-7.5,-0.05%,989
"2023-05-28 17:02",14420.25,14421.75,14412.75,14421.75,1,+0.01%,664
"2023-05-28 17:03",14421.75,14433.75,14418.25,14430,8.25,+0.06%,892
"2023-05-28 17:04",14429.5,14429.75,14423.75,14425.75,-4.25,-0.03%,433
"2023-05-28 17:05",14426.75,14437,14425.5,14429,3.25,+0.02%,862
"2023-05-28 17:06",14429.25,14437.75,14423.25,14424.25,-4.75,-0.03%,845
"2023-05-28 17:07",14423.5,14426.5,14418.75,14422.75,-1.5,-0.01%,521
"2023-05-28 17:08",14422.75,14424.25,14413.75,14419.5,-3.25,-0.02%,692
"2023-05-28 17:09",14420.75,14421.5,14414,14415.25,-4.25,-0.03%,309
"2023-05-28 17:10",14415.25,14420,14414,14415.25,0,0.00%,240
"2023-05-28 17:11",14415.25,14418.5,14412.5,14415.25,0,0.00%,329
"2023-05-28 17:12",14415.25,14417.25,14410.25,14413.75,-1.5,-0.01%,297
"2023-05-28 17:13",14414,14417,14408.75,14409.75,-4.,-0.03%,321
"2023-05-28 17:14",14409.25,14413,14405.25,14409,-0.75,-0.01%,404
"2023-05-28 17:15",14409.25,14410.25,14406.5,14407.75,-1.25,-0.01%,210
"2023-05-28 17:16",14407.25,14408.75,14401.25,14402.75,-5.,-0.03%,442
"2023-05-28 17:17",14403.75,14408.25,14403.5,14407.25,4.5,+0.03%,166
"2023-05-28 17:18",14406.5,14410.5,14406.5,14409,1.75,+0.01%,194
"2023-05-28 17:19",14408.25,14411.75,14407.25,14407.75,-1.25,-0.01%,214
"2023-05-28 17:20",14407.5,14412.75,14406.5,14409.25,1.5,+0.01%,225
"2023-05-28 17:21",14409.5,14414.5,14409.25,14414,4.75,+0.03%,177
"2023-05-28 17:22",14414.5,14419,14414.5,14416.75,2.75,+0.02%,288
"2023-05-28 17:23",14416.25,14416.5,14410.5,14412.5,-4.25,-0.03%,214
"2023-05-28 17:24",14412.5,14416,14412.25,14413.25,0.75,+0.01%,80
"2023-05-28 17:25",14412.75,14413.75,14408.25,14409.5,-3.75,-0.03%,153
"2023-05-28 17:26",14409.5,14412.25,14409,14410.75,1.25,+0.01%,60
"2023-05-28 17:27",14410.75,14414.75,14410.5,14414,3.25,+0.02%,70
"2023-05-28 17:28",14414.5,14416.25,14411.75,14416,2,+0.01%,158
"2023-05-28 17:29",14415.75,14417.25,14414.25,14415.75,-0.25,0.00%,132
"2023-05-28 17:30",14415.5,14421,14415,14418.5,2.75,+0.02%,272
"2023-05-28 17:31",14418.5,14420.5,14417,14420,1.5,+0.01%,128
"2023-05-28 17:32",14419.75,14420.25,14416.5,14416.75,-3.25,-0.02%,122
"2023-05-28 17:33",14416.75,14417.5,14413.25,14414,-2.75,-0.02%,121
