Time,Open,High,Low,Last,Change,%Chg,Volume
"2021-08-27 13:05",15427.25,15428.75,15426.5,15426.5,-0.25,0.00%,753
"2021-08-27 13:06",15426.5,15426.75,15423.75,15424,-2.5,-0.02%,945
"2021-08-27 13:07",15424,15426.5,15424,15425.5,1.5,+0.01%,555
"2021-08-27 13:08",15425.5,15425.75,15424.25,15424.25,-1.25,-0.01%,528
"2021-08-27 13:09",15424,15424.5,15423.25,15423.25,-1.,-0.01%,632
"2021-08-27 13:10",15423.25,15424.5,15422,15423.25,0,0.00%,703
"2021-08-27 13:11",15423,15424.25,15421,15422.75,-0.5,0.00%,707
"2021-08-27 13:12",15422.5,15423.75,15422,15422.25,-0.5,0.00%,454
"2021-08-27 13:13",15422.5,15423.75,15422,15423.25,1,+0.01%,303
"2021-08-27 13:14",15423.5,15424.5,15423,15424,0.75,0.00%,452
"2021-08-27 13:15",15424.25,15424.5,15421.75,15422.75,-1.25,-0.01%,638
"2021-08-27 13:16",15423,15423.25,15419.25,15420.5,-2.25,-0.01%,1017
"2021-08-27 13:17",15420.5,15422.75,15419.5,15422.25,1.75,+0.01%,603
"2021-08-27 13:18",15422.5,15424.25,15422,15422.5,0.25,0.00%,643
"2021-08-27 13:19",15422.5,15423.25,15421.25,15423.25,0.75,0.00%,442
"2021-08-27 13:20",15423.25,15425,15423,15424,0.75,0.00%,767
"2021-08-27 13:21",15424,15424,15421.75,15422.75,-1.25,-0.01%,471
"2021-08-27 13:22",15423,15423,15420.25,15421.25,-1.5,-0.01%,531
"2021-08-27 13:23",15421,15422,15420.5,15420.75,-0.5,0.00%,350
"2021-08-27 13:24",15420.75,15421.5,15419.5,15420.5,-0.25,0.00%,535
"2021-08-27 13:25",15420.75,15422.5,15419.75,15422.5,2,+0.01%,404
"2021-08-27 13:26",15422.5,15424.5,15422,15424.25,1.75,+0.01%,621
"2021-08-27 13:27",15424.25,15426.75,15423.75,15426,1.75,+0.01%,756
"2021-08-27 13:28",15426.25,15427.75,15425,15427.5,1.5,+0.01%,716
"2021-08-27 13:29",15427.25,15427.75,15426.5,15427,-0.5,0.00%,543
"2021-08-27 13:30",15426.75,15429,15426.5,15427.5,0.5,0.00%,826
"2021-08-27 13:31",15427.5,15427.75,15426.25,15427,-0.5,0.00%,842
"2021-08-27 13:32",15427,15427.25,15425.5,15427,0,0.00%,744
"2021-08-27 13:33",15427,15428.25,15427,15427.25,0.25,0.00%,531
"2021-08-27 13:34",15427.75,15430,15427.25,15429.5,2.25,+0.01%,733
"2021-08-27 13:35",15429.75,15432.75,15429.25,15432.25,2.75,+0.02%,1238
"2021-08-27 13:36",15432,15433.5,15431.75,15433.5,1.25,+0.01%,893
"2021-08-27 13:37",15433.25,15433.25,15432.25,15432.5,-1.,-0.01%,509
"2021-08-27 13:38",15432.5,15433.5,15431.75,15432,-0.5,0.00%,1007
"2021-08-27 13:39",15432,15432.5,15429.25,15430.25,-1.75,-0.01%,1108
"2021-08-27 13:40",15430.5,15432.25,15429.75,15430.75,0.5,0.00%,694
"2021-08-27 13:41",15430.75,15431.25,15430.25,15430.5,-0.25,0.00%,506
"2021-08-27 13:42",15430.5,15431.25,15429.75,15430.75,0.25,0.00%,459
"2021-08-27 13:43",15430.5,15433.25,15430.25,15432.25,1.5,+0.01%,984
"2021-08-27 13:44",15432.25,15433.25,15432.25,15432.75,0.5,0.00%,805
"2021-08-27 13:45",15432.75,15433.75,15431,15432.5,-0.25,0.00%,1207
"2021-08-27 13:46",15432.75,15435,15431.25,15431.5,-1.,-0.01%,1175
"2021-08-27 13:47",15431.5,15432.25,15429,15430,-1.5,-0.01%,1162
"2021-08-27 13:48",15430,15432.5,15429.5,15432.5,2.5,+0.02%,593
"2021-08-27 13:49",15432.75,15433,15431.5,15432.25,-0.25,0.00%,357
"2021-08-27 13:50",15432.25,15434,15432,15432.5,0.25,0.00%,432
"2021-08-27 13:51",15432.5,15433.25,15432,15433,0.5,0.00%,537
"2021-08-27 13:52",15432.75,15433,15432,15432.75,-0.25,0.00%,525
"2021-08-27 13:53",15433,15433.5,15432,15433,0.25,0.00%,372
"2021-08-27 13:54",15433.25,15433.25,15431.5,15432.5,-0.5,0.00%,541
"2021-08-27 13:55",15432.25,15434,15432,15434,1.5,+0.01%,561
"2021-08-27 13:56",15433.75,15435,15433,15435,1,+0.01%,730
"2021-08-27 13:57",15435.25,15435.75,15434,15434.75,-0.25,0.00%,632
"2021-08-27 13:58",15435,15435.25,15434.25,15434.5,-0.25,0.00%,438
"2021-08-27 13:59",15434.5,15436.25,15433.5,15433.5,-1.,-0.01%,853
"2021-08-27 14:00",15433.5,15436.25,15433.5,15436.25,2.75,+0.02%,746
"2021-08-27 14:01",15436.25,15437.25,15435.75,15435.75,-0.5,0.00%,995
"2021-08-27 14:02",15435.5,15436,15434,15434.5,-1.25,-0.01%,820
"2021-08-27 14:03",15434.5,15434.75,15431.75,15434,-0.5,0.00%,965
"2021-08-27 14:04",15434.25,15436.5,15433.25,15436,2,+0.01%,785
"2021-08-27 14:05",15436.25,15436.75,15434.25,15435.75,-0.25,0.00%,893
"2021-08-27 14:06",15435.5,15436.25,15434.25,15435.75,0,0.00%,819
"2021-08-27 14:07",15435.75,15437.75,15435.25,15437.75,2,+0.01%,819
"2021-08-27 14:08",15437.75,15440.25,15437,15438,0.25,0.00%,1360
"2021-08-27 14:09",15438,15438,15435.75,15436.25,-1.75,-0.01%,695
"2021-08-27 14:10",15436.25,15439.25,15436.25,15438.25,2,+0.01%,958
"2021-08-27 14:11",15438.25,15438.75,15436.25,15436.25,-2.,-0.01%,643
"2021-08-27 14:12",15436,15438.5,15436,15438.25,2,+0.01%,621
"2021-08-27 14:13",15438.5,15438.75,15437.5,15438,-0.25,0.00%,382
"2021-08-27 14:14",15438,15441.5,15437.5,15439.75,1.75,+0.01%,1056
"2021-08-27 14:15",15439.5,15442.25,15438.5,15441.25,1.5,+0.01%,1467
"2021-08-27 14:16",15441.25,15442,15440.25,15440.75,-0.5,0.00%,841
"2021-08-27 14:17",15440.5,15440.5,15437.75,15439.25,-1.5,-0.01%,892
"2021-08-27 14:18",15439.25,15442.25,15439.25,15441.5,2.25,+0.01%,757
"2021-08-27 14:19",15441.5,15441.75,15440.25,15440.75,-0.75,0.00%,523
"2021-08-27 14:20",15440.75,15441,15439.5,15441,0.25,0.00%,655
"2021-08-27 14:21",15441,15443.5,15440.75,15442.25,1.25,+0.01%,1064
"2021-08-27 14:22",15442.25,15442.75,15440.5,15441.25,-1.,-0.01%,761
"2021-08-27 14:23",15441.25,15441.5,15440.25,15441,-0.25,0.00%,475
"2021-08-27 14:24",15440.75,15441.25,15439.75,15440.25,-0.75,0.00%,669
"2021-08-27 14:25",15440.25,15441.5,15439.5,15441,0.75,0.00%,688
"2021-08-27 14:26",15441.25,15443.75,15441.25,15442.5,1.5,+0.01%,753
"2021-08-27 14:27",15442.5,15443.25,15440.25,15440.25,-2.25,-0.01%,672
"2021-08-27 14:28",15440.25,15440.5,15438.75,15439.75,-0.5,0.00%,1042
"2021-08-27 14:29",15439.5,15440.25,15437.25,15437.5,-2.25,-0.01%,1220
"2021-08-27 14:30",15437.75,15438.75,15436.75,15437.25,-0.25,0.00%,1486
"2021-08-27 14:31",15437.25,15437.25,15433.75,15436,-1.25,-0.01%,2071
"2021-08-27 14:32",15436.25,15436.25,15433.25,15434.25,-1.75,-0.01%,1104
"2021-08-27 14:33",15434.25,15435,15433.25,15433.5,-0.75,0.00%,1053
"2021-08-27 14:34",15433.25,15434,15432.25,15433.75,0.25,0.00%,1593
"2021-08-27 14:35",15433.5,15433.75,15432.25,15432.5,-1.25,-0.01%,919
"2021-08-27 14:36",15432.75,15433.75,15431.5,15432.5,0,0.00%,1169
"2021-08-27 14:37",15432.5,15432.75,15430.75,15432,-0.5,0.00%,988
"2021-08-27 14:38",15432,15432,15431.25,15431.75,-0.25,0.00%,712
"2021-08-27 14:39",15431.75,15431.75,15429.25,15430,-1.75,-0.01%,1119
"2021-08-27 14:40",15430,15431.75,15429.25,15431,1,+0.01%,1029
"2021-08-27 14:41",15430.75,15432.25,15430.5,15430.75,-0.25,0.00%,917
"2021-08-27 14:42",15430.5,15433.25,15430,15433,2.25,+0.01%,897
"2021-08-27 14:43",15433,15434.75,15432.5,15434.5,1.5,+0.01%,1659
"2021-08-27 14:44",15434.5,15437,15434,15436.25,1.75,+0.01%,1827
"2021-08-27 14:45",15436.5,15439,15436,15438,1.75,+0.01%,1391
"2021-08-27 14:46",15437.75,15438.25,15434.75,15438,0,0.00%,911
"2021-08-27 14:47",15438.25,15441.25,15438.25,15439.25,1.25,+0.01%,1000
"2021-08-27 14:48",15439.25,15439.75,15434,15434.75,-4.5,-0.03%,1070
"2021-08-27 14:49",15434.75,15435.25,15431.5,15432.75,-2.,-0.01%,833
"2021-08-27 14:50",15432.75,15441.25,15430.25,15430.75,-2.,-0.01%,2997
"2021-08-27 14:51",15431,15431.75,15427.75,15429.5,-1.25,-0.01%,2002
"2021-08-27 14:52",15429.5,15430,15427.25,15428.5,-1.,-0.01%,1225
"2021-08-27 14:53",15428.75,15432.25,15428.75,15430.5,2,+0.01%,1676
"2021-08-27 14:54",15430.5,15433,15426.25,15430,-0.5,0.00%,3299
"2021-08-27 14:55",15429.75,15431,15424.5,15425.75,-4.25,-0.03%,2871
"2021-08-27 14:56",15425.75,15429.25,15424.75,15428,2.25,+0.01%,1402
"2021-08-27 14:57",15428.5,15429.5,15426.25,15427.5,-0.5,0.00%,1928
"2021-08-27 14:58",15427.5,15428,15425,15425.75,-1.75,-0.01%,1526
"2021-08-27 14:59",15425.75,15430.25,15421.5,15424.5,-1.25,-0.01%,5454
"2021-08-27 15:00",15424.25,15427,15421,15426.25,1.75,+0.01%,2557
"2021-08-27 15:01",15427,15433,15427,15431.75,5.5,+0.04%,1257
"2021-08-27 15:02",15431.75,15432.75,15427.75,15429,-2.75,-0.02%,498
"2021-08-27 15:03",15429.25,15429.5,15426.75,15427.5,-1.5,-0.01%,348
"2021-08-27 15:04",15427.5,15427.5,15425.25,15425.25,-2.25,-0.01%,541
"2021-08-27 15:05",15425,15426.25,15424.5,15425,-0.25,0.00%,328
"2021-08-27 15:06",15425,15426.25,15424,15425,0,0.00%,498
"2021-08-27 15:07",15424.75,15425.25,15422,15422.25,-2.75,-0.02%,404
"2021-08-27 15:08",15422.25,15422.25,15418,15418.25,-4.,-0.03%,768
"2021-08-27 15:09",15418.5,15419.25,15415.75,15416.25,-2.,-0.01%,571
"2021-08-27 15:10",15416.25,15419.75,15415.5,15419.75,3.5,+0.02%,558
