Time,Open,High,Low,Last,Change,%Chg,Volume
"2023-11-26 20:23",15951.75,15951.75,15949.5,15951,-0.5,0.00%,150
"2023-11-26 20:24",15951.5,15952.75,15951,15951.5,0.5,0.00%,124
"2023-11-26 20:25",15951.25,15952,15950.25,15950.5,-1.,-0.01%,121
"2023-11-26 20:26",15950.75,15951,15949.5,15949.75,-0.75,0.00%,119
"2023-11-26 20:27",15950,15952,15950,15951.25,1.5,+0.01%,72
"2023-11-26 20:28",15951.5,15952,15950.25,15951,-0.25,0.00%,154
"2023-11-26 20:29",15951,15951,15948.75,15949.5,-1.5,-0.01%,153
"2023-11-26 20:30",15949.5,15950.5,15948.75,15949,-0.5,0.00%,316
"2023-11-26 20:31",15949,15949,15945.5,15946,-3.,-0.02%,573
"2023-11-26 20:32",15946,15948.25,15945.75,15947.75,1.75,+0.01%,203
"2023-11-26 20:33",15947.75,15948.25,15946.75,15947.5,-0.25,0.00%,115
"2023-11-26 20:34",15947.75,15947.75,15945.75,15946.5,-1.,-0.01%,125
"2023-11-26 20:35",15946.75,15949.5,15946.75,15949,2.5,+0.02%,191
"2023-11-26 20:36",15948.5,15949,15945.25,15946,-3.,-0.02%,215
"2023-11-26 20:37",15945.75,15948.5,15945,15948.25,2.25,+0.01%,189
"2023-11-26 20:38",15948.5,15949.75,15948,15949.5,1.25,+0.01%,130
"2023-11-26 20:39",15949.75,15950.5,15948.75,15950.5,1,+0.01%,127
"2023-11-26 20:40",15950.5,15950.5,15948.5,15949,-1.5,-0.01%,166
"2023-11-26 20:41",15949,15949.75,15948.25,15948.25,-0.75,0.00%,98
"2023-11-26 20:42",15948.75,15948.75,15945.5,15946.75,-1.5,-0.01%,166
"2023-11-26 20:43",15946.75,15947.75,15945.25,15946.5,-0.25,0.00%,157
"2023-11-26 20:44",15946.75,15949,15946.25,15948.25,1.75,+0.01%,98
"2023-11-26 20:45",15948.25,15948.75,15947.5,15948,-0.25,0.00%,105
"2023-11-26 20:46",15948.5,15948.75,15947,15947.5,-0.5,0.00%,79
"2023-11-26 20:47",15947.5,15948.25,15946.5,15946.75,-0.75,0.00%,65
"2023-11-26 20:48",15946.75,15947.75,15946,15946.25,-0.5,0.00%,143
"2023-11-26 20:49",15946.5,15947,15945.75,15946.5,0.25,0.00%,92
"2023-11-26 20:50",15946.75,15948.25,15946.75,15946.75,0.25,0.00%,98
"2023-11-26 20:51",15946.75,15947.5,15946.5,15947,0.25,0.00%,35
"2023-11-26 20:52",15947.25,15948,15947,15947.5,0.5,0.00%,29
"2023-11-26 20:53",15947.75,15948.5,15947,15948,0.5,0.00%,79
"2023-11-26 20:54",15948.25,15948.25,15947.5,15947.75,-0.25,0.00%,42
"2023-11-26 20:55",15948,15948,15945.75,15946.5,-1.25,-0.01%,103
"2023-11-26 20:56",15946.5,15948,15946.5,15947.75,1.25,+0.01%,33
"2023-11-26 20:57",15947.5,15948.5,15946.75,15948.25,0.5,0.00%,61
"2023-11-26 20:58",15948.25,15948.25,15946.25,15947,-1.25,-0.01%,56
"2023-11-26 20:59",15947,15948.25,15946.75,15948,1,+0.01%,47
"2023-11-26 21:00",15948,15948.75,15947.5,15948.25,0.25,0.00%,121
"2023-11-26 21:01",15948,15948.5,15948,15948.5,0.25,0.00%,30
"2023-11-26 21:02",15948.25,15948.75,15947.75,15948,-0.5,0.00%,98
"2023-11-26 21:03",15948,15948,15947,15947.25,-0.75,0.00%,88
"2023-11-26 21:04",15947,15947.5,15946,15946.5,-0.75,0.00%,129
"2023-11-26 21:05",15946.25,15946.75,15945.75,15946.5,0,0.00%,111
"2023-11-26 21:06",15946.25,15946.5,15945.5,15945.75,-0.75,0.00%,62
"2023-11-26 21:07",15945.5,15946.25,15945.25,15945.5,-0.25,0.00%,102
"2023-11-26 21:08",15945,15946.25,15943.75,15946.25,0.75,0.00%,282
"2023-11-26 21:09",15946.25,15946.25,15944.75,15946,-0.25,0.00%,88
"2023-11-26 21:10",15946.25,15947,15945.25,15945.75,-0.25,0.00%,143
"2023-11-26 21:11",15945.75,15945.75,15945,15945.5,-0.25,0.00%,78
"2023-11-26 21:12",15945.5,15947.25,15945.25,15947,1.5,+0.01%,114
"2023-11-26 21:13",15947,15947.75,15946.75,15946.75,-0.25,0.00%,98
"2023-11-26 21:14",15946.25,15948.5,15946.25,15948,1.25,+0.01%,101
"2023-11-26 21:15",15947.75,15948.5,15947.25,15947.75,-0.25,0.00%,96
"2023-11-26 21:16",15947.5,15947.75,15947,15947.25,-0.5,0.00%,65
"2023-11-26 21:17",15947,15947.25,15946,15946.5,-0.75,0.00%,100
"2023-11-26 21:18",15947,15947,15946.25,15946.5,0,0.00%,36
"2023-11-26 21:19",15946.5,15947.5,15946,15947.25,0.75,0.00%,40
"2023-11-26 21:20",15947.25,15947.5,15944.75,15945.25,-2.,-0.01%,118
"2023-11-26 21:21",15945,15946.5,15944,15946.5,1.25,+0.01%,96
"2023-11-26 21:22",15946.25,15948,15946,15947.5,1,+0.01%,121
"2023-11-26 21:23",15947,15947.25,15945.75,15946.75,-0.75,0.00%,91
"2023-11-26 21:24",15947,15947,15944.5,15944.75,-2.,-0.01%,72
"2023-11-26 21:25",15945,15945,15940.25,15943,-1.75,-0.01%,822
"2023-11-26 21:26",15942.75,15943.75,15938.75,15941,-2.,-0.01%,481
"2023-11-26 21:27",15941,15943,15940.25,15942.25,1.25,+0.01%,124
"2023-11-26 21:28",15942.5,15944,15942.25,15942.25,0,0.00%,131
"2023-11-26 21:29",15942,15942.5,15939.75,15939.75,-2.5,-0.02%,167
"2023-11-26 21:30",15939.75,15941.75,15939.5,15941.75,2,+0.01%,194
"2023-11-26 21:31",15941.75,15941.75,15940.25,15941.25,-0.5,0.00%,174
"2023-11-26 21:32",15941.5,15944,15941.5,15944,2.75,+0.02%,284
"2023-11-26 21:33",15944.25,15944.75,15943.25,15944.5,0.5,0.00%,367
"2023-11-26 21:34",15944.75,15946.25,15944.5,15945.25,0.75,0.00%,441
"2023-11-26 21:35",15945.25,15945.5,15944.25,15944.75,-0.5,0.00%,103
"2023-11-26 21:36",15944.75,15945.25,15943.75,15944,-0.75,0.00%,63
"2023-11-26 21:37",15943.75,15944.25,15942,15943,-1.,-0.01%,155
